claim_id,file_line,value,macro_or_literal,provenance,configuration,status,claim_context
CL0020,presentations/v6/results_macros.tex:28,"51.95\,\text{ps}",\RessigmamEANejC,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej230; scripts/results_macros.py reproduces 51.95163056; historical CSV reproduced, not a new timing simulation.","EJ230, End, N_TOP=0, x=-600..600 mm",valid,"\newcommand{\RessigmamEANejC}{51.95\,\text{ps}}  % EJ-230 bar-mean sigma_m* with units"
CL0021,presentations/v6/results_macros.tex:29,51.95,\RessigmabmEANejC,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej230; scripts/results_macros.py reproduces 51.95163056; historical CSV reproduced, not a new timing simulation.","EJ230, End, N_TOP=0, x=-600..600 mm",valid,\newcommand{\RessigmabmEANejC}{51.95}  % EJ-230 bar-mean sigma_m* bare (for table)
CL0022,presentations/v6/results_macros.tex:30,"49.55\,\text{ps}",\RessigmaMINejC,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej230; scripts/results_macros.py reproduces 49.55464662; historical CSV reproduced, not a new timing simulation.","EJ230, End, N_TOP=0, x=-600..600 mm",valid,"\newcommand{\RessigmaMINejC}{49.55\,\text{ps}}  % EJ-230 min sigma_m* on bar"
CL0023,presentations/v6/results_macros.tex:31,"+100\,\text{mm}",\ResxMINejC,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej230; scripts/results_macros.py reproduces 100; historical CSV reproduced, not a new timing simulation.","EJ230, End, N_TOP=0, x=-600..600 mm",valid,"\newcommand{\ResxMINejC}{+100\,\text{mm}}  % EJ-230 x at min sigma"
CL0024,presentations/v6/results_macros.tex:32,"701\,\text{pe}",\ResNpexzEROejC,"/home/rrios/ej200/analysis/optim/phase_ab_optimal.csv: ej230; scripts/results_macros.py reproduces 701.2816; historical CSV reproduced, not a new timing simulation.","EJ230, End, N_TOP=0, x=0 mm",valid,"\newcommand{\ResNpexzEROejC}{701\,\text{pe}}  % EJ-230 mean N_pe/end at x=0"
CL0025,presentations/napkin_first_principles/values/napkin_macros.tex:3,1.580,\Napnpvt,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample,valid,\newcommand{\Napnpvt}{1.580}  % PVT refractive index
CL0026,presentations/napkin_first_principles/values/napkin_macros.tex:4,"39.27\,\text{deg}",\Napthetacdeg,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample,valid,"\newcommand{\Napthetacdeg}{39.27\,\text{deg}}  % Critical angle: arcsin(1/n)"
CL0027,presentations/napkin_first_principles/values/napkin_macros.tex:5,0.5484,\NapfTIR,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample,valid,\newcommand{\NapfTIR}{0.5484}  % TIR fraction (slab): 2cos(θ_c)−1  [Knoll 8.15]
CL0028,presentations/napkin_first_principles/values/napkin_macros.tex:6,0.2742,\NapfTIRperend,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample,valid,\newcommand{\NapfTIRperend}{0.2742}  % TIR fraction toward one end: f_TIR/2
CL0029,presentations/napkin_first_principles/values/napkin_macros.tex:7,"189.7\,\text{mm/ns}",\Napvgroupmmns,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample,valid,"\newcommand{\Napvgroupmmns}{189.7\,\text{mm/ns}}  % Group velocity: c/n"
CL0030,presentations/napkin_first_principles/values/napkin_macros.tex:8,"2.000\,\text{MeV}",\NapdEMeV,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample,valid,"\newcommand{\NapdEMeV}{2.000\,\text{MeV}}  % Energy deposited: 1-GeV μ⁻ through H=10 mm"
CL0031,presentations/napkin_first_principles/values/napkin_macros.tex:9,0.9500,\NapRvikuiti,"/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py; arithmetic is reproducible, but interpreting REFLECTIVITY as boundary reflectance is unsupported by /home/rrios/ej200_exec26_20260909/build_exec26_phase1b_20260909/run500_ready/tables/directional_states.meta.json",Analytical model / stated assumption; no event sample,unverified,\newcommand{\NapRvikuiti}{0.9500}  % Vikuiti non-TIR reflectivity (Materials.cc)
CL0032,presentations/napkin_first_principles/values/napkin_macros.tex:10,35.00,\NapNbounce,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample,valid,\newcommand{\NapNbounce}{35.00}  % Bounces to traverse L/2 along H-faces
CL0033,presentations/napkin_first_principles/values/napkin_macros.tex:11,0.1661,\NapRsurvbounce,"/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py; arithmetic is reproducible, but interpreting REFLECTIVITY as boundary reflectance is unsupported by /home/rrios/ej200_exec26_20260909/build_exec26_phase1b_20260909/run500_ready/tables/directional_states.meta.json",Analytical model / stated assumption; no event sample,unverified,\newcommand{\NapRsurvbounce}{0.1661}  % Vikuiti bounce survival: R^N_bounce
CL0034,presentations/napkin_first_principles/values/napkin_macros.tex:12,"2.000\,\text{MeV/cm}",\NapdEdxMeVcm,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample,valid,"\newcommand{\NapdEdxMeVcm}{2.000\,\text{MeV/cm}}  % MIP dE/dx in PVT (minimum ionising)"
CL0035,presentations/napkin_first_principles/values/napkin_macros.tex:13,"1400\,\text{mm}",\NapLmm,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample,valid,"\newcommand{\NapLmm}{1400\,\text{mm}}  % Bar length"
CL0036,presentations/napkin_first_principles/values/napkin_macros.tex:14,"60.00\,\text{mm}",\NapWmm,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample,valid,"\newcommand{\NapWmm}{60.00\,\text{mm}}  % Bar width"
CL0037,presentations/napkin_first_principles/values/napkin_macros.tex:15,"10.00\,\text{mm}",\NapHmm,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample,valid,"\newcommand{\NapHmm}{10.00\,\text{mm}}  % Bar height (thin direction)"
CL0038,presentations/napkin_first_principles/values/napkin_macros.tex:16,8.000,\Napnsipmperend,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample,valid,\newcommand{\Napnsipmperend}{8.000}  % SiPM per END face
CL0039,presentations/napkin_first_principles/values/napkin_macros.tex:17,"10000\,\text{ph/MeV}",\NapyieldejA,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-200,valid,"\newcommand{\NapyieldejA}{10000\,\text{ph/MeV}}  % EJ-200 scintillation yield"
CL0040,presentations/napkin_first_principles/values/napkin_macros.tex:18,"0.9000\,\text{ns}",\NaptauriseejA,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-200,valid,"\newcommand{\NaptauriseejA}{0.9000\,\text{ns}}  % EJ-200 rise time"
CL0041,presentations/napkin_first_principles/values/napkin_macros.tex:19,"2.100\,\text{ns}",\NaptaudecayejA,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-200,valid,"\newcommand{\NaptaudecayejA}{2.100\,\text{ns}}  % EJ-200 decay time"
CL0042,presentations/napkin_first_principles/values/napkin_macros.tex:20,"3800\,\text{mm}",\NaplattmmejA,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-200,valid,"\newcommand{\NaplattmmejA}{3800\,\text{mm}}  % EJ-200 attenuation length (mm)"
CL0043,presentations/napkin_first_principles/values/napkin_macros.tex:21,"380\,\text{cm}",\NaplattcmejA,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-200,valid,"\newcommand{\NaplattcmejA}{380\,\text{cm}}  % EJ-200 attenuation length (cm)"
CL0044,presentations/napkin_first_principles/values/napkin_macros.tex:22,0.8318,\NapbulksurvejA,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-200,valid,\newcommand{\NapbulksurvejA}{0.8318}  % EJ-200 bulk survival: exp(−700/3800)
CL0045,presentations/napkin_first_principles/values/napkin_macros.tex:23,"20000\,\text{photons}",\NapNprodejA,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-200,valid,"\newcommand{\NapNprodejA}{20000\,\text{photons}}  % EJ-200 photons produced: yield×dE"
CL0046,presentations/napkin_first_principles/values/napkin_macros.tex:24,"1311\,\text{pe}",\NapNpesimejA,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py; matching phase_ab_optimal.csv yield,"Historical configuration: consult generator; not new physics validation; EJ-200; End, N_TOP=0, x=0 mm",valid,"\newcommand{\NapNpesimejA}{1311\,\text{pe}}  % EJ-200 simulated Npe/end at x=0"
CL0047,presentations/napkin_first_principles/values/napkin_macros.tex:25,0.0655,\NapfeffejA,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-200,valid,\newcommand{\NapfeffejA}{0.0655}  % EJ-200 collection×PDE: Npe_sim/N_produced
CL0048,presentations/napkin_first_principles/values/napkin_macros.tex:26,"47.60\,\text{ps}",\NapsigmasimejA,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py; napkin.py:72 explicitly deprecates orphaned sim_sigma; source of truth is phase_ab_optimal.csv and results_macros.tex,Historical configuration: consult generator; not new physics validation; EJ-200,superseded,"\newcommand{\NapsigmasimejA}{47.60\,\text{ps}}  % EJ-200 simulated σ(T0) at x=0"
CL0049,presentations/napkin_first_principles/values/napkin_macros.tex:27,"6.386\,\text{mm}",\NapsigmaxejA,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py; napkin.py:72 explicitly deprecates orphaned sim_sigma; source of truth is phase_ab_optimal.csv and results_macros.tex,Analytical model / stated assumption; no event sample; EJ-200,superseded,"\newcommand{\NapsigmaxejA}{6.386\,\text{mm}}  % EJ-200 position resolution: σ·v_g/√2"
CL0050,presentations/napkin_first_principles/values/napkin_macros.tex:28,"10400\,\text{ph/MeV}",\NapyieldejB,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-204,valid,"\newcommand{\NapyieldejB}{10400\,\text{ph/MeV}}  % EJ-204 scintillation yield"
CL0051,presentations/napkin_first_principles/values/napkin_macros.tex:29,"0.7000\,\text{ns}",\NaptauriseejB,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-204,valid,"\newcommand{\NaptauriseejB}{0.7000\,\text{ns}}  % EJ-204 rise time"
CL0052,presentations/napkin_first_principles/values/napkin_macros.tex:30,"1.800\,\text{ns}",\NaptaudecayejB,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-204,valid,"\newcommand{\NaptaudecayejB}{1.800\,\text{ns}}  % EJ-204 decay time"
CL0053,presentations/napkin_first_principles/values/napkin_macros.tex:31,"1600\,\text{mm}",\NaplattmmejB,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-204,valid,"\newcommand{\NaplattmmejB}{1600\,\text{mm}}  % EJ-204 attenuation length (mm)"
CL0054,presentations/napkin_first_principles/values/napkin_macros.tex:32,"160\,\text{cm}",\NaplattcmejB,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-204,valid,"\newcommand{\NaplattcmejB}{160\,\text{cm}}  % EJ-204 attenuation length (cm)"
CL0055,presentations/napkin_first_principles/values/napkin_macros.tex:33,0.6456,\NapbulksurvejB,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-204,valid,\newcommand{\NapbulksurvejB}{0.6456}  % EJ-204 bulk survival: exp(−700/1600)
CL0056,presentations/napkin_first_principles/values/napkin_macros.tex:34,"20800\,\text{photons}",\NapNprodejB,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-204,valid,"\newcommand{\NapNprodejB}{20800\,\text{photons}}  % EJ-204 photons produced: yield×dE"
CL0057,presentations/napkin_first_principles/values/napkin_macros.tex:35,"941\,\text{pe}",\NapNpesimejB,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py; matching phase_ab_optimal.csv yield,"Historical configuration: consult generator; not new physics validation; EJ-204; End, N_TOP=0, x=0 mm",valid,"\newcommand{\NapNpesimejB}{941\,\text{pe}}  % EJ-204 simulated Npe/end at x=0"
CL0058,presentations/napkin_first_principles/values/napkin_macros.tex:36,0.0452,\NapfeffejB,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-204,valid,\newcommand{\NapfeffejB}{0.0452}  % EJ-204 collection×PDE: Npe_sim/N_produced
CL0059,presentations/napkin_first_principles/values/napkin_macros.tex:37,"52.10\,\text{ps}",\NapsigmasimejB,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py; napkin.py:72 explicitly deprecates orphaned sim_sigma; source of truth is phase_ab_optimal.csv and results_macros.tex,Historical configuration: consult generator; not new physics validation; EJ-204,superseded,"\newcommand{\NapsigmasimejB}{52.10\,\text{ps}}  % EJ-204 simulated σ(T0) at x=0"
CL0060,presentations/napkin_first_principles/values/napkin_macros.tex:38,"6.990\,\text{mm}",\NapsigmaxejB,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py; napkin.py:72 explicitly deprecates orphaned sim_sigma; source of truth is phase_ab_optimal.csv and results_macros.tex,Analytical model / stated assumption; no event sample; EJ-204,superseded,"\newcommand{\NapsigmaxejB}{6.990\,\text{mm}}  % EJ-204 position resolution: σ·v_g/√2"
CL0061,presentations/napkin_first_principles/values/napkin_macros.tex:39,"9700\,\text{ph/MeV}",\NapyieldejC,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-230,valid,"\newcommand{\NapyieldejC}{9700\,\text{ph/MeV}}  % EJ-230 scintillation yield"
CL0062,presentations/napkin_first_principles/values/napkin_macros.tex:40,"0.5000\,\text{ns}",\NaptauriseejC,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-230,valid,"\newcommand{\NaptauriseejC}{0.5000\,\text{ns}}  % EJ-230 rise time"
CL0063,presentations/napkin_first_principles/values/napkin_macros.tex:41,"1.500\,\text{ns}",\NaptaudecayejC,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-230,valid,"\newcommand{\NaptaudecayejC}{1.500\,\text{ns}}  % EJ-230 decay time"
CL0064,presentations/napkin_first_principles/values/napkin_macros.tex:42,"1200\,\text{mm}",\NaplattmmejC,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-230,valid,"\newcommand{\NaplattmmejC}{1200\,\text{mm}}  % EJ-230 attenuation length (mm)"
CL0065,presentations/napkin_first_principles/values/napkin_macros.tex:43,"120\,\text{cm}",\NaplattcmejC,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-230,valid,"\newcommand{\NaplattcmejC}{120\,\text{cm}}  % EJ-230 attenuation length (cm)"
CL0066,presentations/napkin_first_principles/values/napkin_macros.tex:44,0.5580,\NapbulksurvejC,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-230,valid,\newcommand{\NapbulksurvejC}{0.5580}  % EJ-230 bulk survival: exp(−700/1200)
CL0067,presentations/napkin_first_principles/values/napkin_macros.tex:45,"19400\,\text{photons}",\NapNprodejC,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-230,valid,"\newcommand{\NapNprodejC}{19400\,\text{photons}}  % EJ-230 photons produced: yield×dE"
CL0068,presentations/napkin_first_principles/values/napkin_macros.tex:46,"701.3\,\text{pe}",\NapNpesimejC,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py; matching phase_ab_optimal.csv yield,"Historical configuration: consult generator; not new physics validation; EJ-230; End, N_TOP=0, x=0 mm",valid,"\newcommand{\NapNpesimejC}{701.3\,\text{pe}}  % EJ-230 simulated Npe/end at x=0"
CL0069,presentations/napkin_first_principles/values/napkin_macros.tex:47,0.0361,\NapfeffejC,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py,Analytical model / stated assumption; no event sample; EJ-230,valid,\newcommand{\NapfeffejC}{0.0361}  % EJ-230 collection×PDE: Npe_sim/N_produced
CL0070,presentations/napkin_first_principles/values/napkin_macros.tex:48,"49.60\,\text{ps}",\NapsigmasimejC,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py; napkin.py:72 explicitly deprecates orphaned sim_sigma; source of truth is phase_ab_optimal.csv and results_macros.tex,Historical configuration: consult generator; not new physics validation; EJ-230,superseded,"\newcommand{\NapsigmasimejC}{49.60\,\text{ps}}  % EJ-230 simulated σ(T0) at x=0"
CL0071,presentations/napkin_first_principles/values/napkin_macros.tex:49,"6.655\,\text{mm}",\NapsigmaxejC,/home/rrios/ej200/presentations/napkin_first_principles/values/napkin_values.csv; generator presentations/napkin_first_principles/napkin.py; napkin.py:72 explicitly deprecates orphaned sim_sigma; source of truth is phase_ab_optimal.csv and results_macros.tex,Analytical model / stated assumption; no event sample; EJ-230,superseded,"\newcommand{\NapsigmaxejC}{6.655\,\text{mm}}  % EJ-230 position resolution: σ·v_g/√2"
